video_id	side	t_sec	game_idx	frame_idx	chain_count_off	chain_count_on	total_erased_off	total_erased_on	total_ojama_off	total_ojama_on
c2	1P	1364.40	21	81864	1	0	4	0	0	0
c2	1P	2325.13	37	139508	1	0	4	0	0	0
c2	1P	2325.47	37	139528	1	0	4	0	0	0
c2	1P	2790.30	44	167418	1	1	5	4	1	1
c2	1P	3335.17	52	200110	5	5	25	24	4	4
c2	2P	3355.47	52	201328	1	0	4	0	0	0
c2	2P	3356.60	52	201396	1	0	4	0	1	0
c2	2P	3356.93	52	201416	1	0	4	0	0	0
c20	1P	476.33	5	14290	1	1	8	7	2	2
c20	2P	978.97	13	29369	1	1	5	4	3	3
c20	1P	1068.03	15	32041	1	0	4	0	0	0
c20	2P	1300.70	19	39021	13	13	62	61	0	0
c21	2P	525.37	5	15761	1	0	4	0	2	0
c21	1P	1630.57	21	48917	1	0	4	0	0	0
c21	1P	1755.47	23	52664	12	12	64	63	1	1
c21	2P	2412.90	34	72387	1	0	4	0	0	0
c21	1P	2610.50	38	78315	1	1	6	5	0	0
c21	2P	3403.97	50	102119	1	0	4	0	1	0
c22	1P	882.23	11	52934	1	0	4	0	0	0
c22	1P	883.70	11	53022	1	0	4	0	0	0
c22	1P	2897.10	40	173826	1	1	5	4	2	2
c22	2P	3091.20	42	185472	5	5	22	21	17	17
c22	1P	3336.63	46	200198	1	0	4	0	0	0
c22	1P	3406.37	47	204382	1	0	4	0	3	0
c22	2P	3556.50	50	213390	1	0	4	0	1	0
c23	1P	319.30	1	19158	1	0	4	0	0	0
c23	2P	1172.23	15	70334	1	1	6	5	0	0
c23	2P	1242.77	16	74566	1	1	6	5	2	2
c23	1P	1259.70	16	75582	1	1	6	5	0	0
c23	1P	1266.40	16	75984	1	1	5	4	0	0
c23	2P	1564.83	22	93890	3	3	23	19	3	1
c23	1P	1988.37	28	119302	1	0	4	0	0	0
c23	1P	1988.63	28	119318	7	2	38	16	1	1
c23	1P	2081.73	30	124904	2	2	11	10	0	0
c23	1P	2301.73	33	138104	1	1	5	4	2	2
c23	1P	2376.47	35	142588	1	0	4	0	0	0
c23	2P	2937.00	44	176220	2	2	10	9	3	3
c24	1P	298.50	2	17910	1	0	4	0	0	0
c25	1P	1236.67	22	74200	1	0	4	0	0	0
c26	1P	2383.17	0	71495	1	0	4	0	0	0
c26	1P	2383.63	0	71509	11	2	56	18	0	0
c26	1P	2587.47	0	77624	1	0	4	0	0	0
c27	2P	2420.60	30	145236	1	1	5	4	1	1
c27	2P	2421.00	30	145260	1	1	5	4	1	1
c27	1P	3014.40	39	180864	1	1	5	4	0	0
c27	1P	3640.40	49	218424	1	1	7	6	4	4
c27	1P	3640.70	49	218442	1	1	7	6	3	3
c29	1P	2502.50	39	75075	1	1	5	4	2	2
c3	2P	1515.47	24	90928	6	6	46	43	4	4
c3	2P	2803.03	44	168182	1	0	4	0	4	0
c3	2P	2804.07	44	168244	1	0	4	0	4	0
c30	2P	489.33	0	14680	1	1	5	4	4	4
c30	2P	489.80	0	14694	1	1	5	4	4	4
c30	1P	2818.17	0	84545	1	1	9	8	0	0
c30	1P	2819.77	0	84593	1	1	6	5	0	0
c30	1P	2819.80	0	84594	1	1	9	8	0	0
c30	1P	2820.20	0	84606	1	1	6	5	0	0
c30	1P	2820.50	0	84615	1	1	6	5	0	0
c30	1P	2820.57	0	84617	1	1	5	4	0	0
c30	1P	3147.90	0	94437	1	0	4	0	0	0
c30	1P	3148.00	0	94440	1	0	4	0	0	0
c30	1P	3148.13	0	94444	2	2	12	8	0	0
c30	1P	3148.17	0	94445	1	1	8	4	0	0
c30	1P	3148.20	0	94446	1	1	8	4	1	1
c30	1P	3149.00	0	94470	1	0	4	0	0	0
c30	1P	3149.43	0	94483	1	1	11	7	0	0
c30	1P	3151.87	0	94556	1	0	4	0	0	0
c30	2P	3336.03	0	100081	2	2	11	10	0	0
c32	2P	1149.23	16	68954	1	1	5	4	0	0
c33	2P	447.57	4	26854	1	0	4	0	0	0
c33	2P	447.73	4	26864	1	0	4	0	0	0
c33	1P	512.67	5	30760	1	1	5	4	0	0
c33	1P	3449.63	56	206978	1	0	4	0	0	0
c33	1P	3450.53	56	207032	1	0	4	0	0	0
c33	1P	3451.37	56	207082	1	0	4	0	0	0
c33	1P	3451.53	56	207092	1	0	4	0	0	0
c34	2P	2149.77	44	64493	5	5	21	20	6	6
c35	1P	669.93	9	40196	1	0	4	0	0	0
c35	1P	671.10	9	40266	1	0	4	0	0	0
c35	1P	1725.00	26	103500	1	0	4	0	1	0
c35	1P	1726.23	26	103574	1	0	4	0	1	0
c35	1P	1727.90	26	103674	1	0	4	0	1	0
c35	2P	2503.73	39	150224	1	1	5	4	3	3
c35	1P	3103.07	49	186184	1	0	4	0	0	0
c36	1P	1420.53	21	85232	1	1	5	4	0	0
c36	1P	1421.07	21	85264	1	1	5	4	0	0
c36	1P	2405.97	36	144358	1	0	4	0	0	0
c36	1P	2406.77	36	144406	1	0	4	0	0	0
c36	1P	2407.53	36	144452	1	1	8	4	0	0
c36	1P	2410.30	36	144618	1	0	4	0	1	0
c36	1P	2411.57	36	144694	1	0	4	0	1	0
c36	1P	2412.60	36	144756	1	0	4	0	1	0
